City,Age,Income,Vehicle_Ownership,Vehicle_Usage,Vehicle_Type,EV_Market_Share,Charging_Stations_Available,Psychographic,Behavioral
Delhi,47,27446,0,36,4-wheeler,0.3660793480116733,88,Cost-conscious,Rare Usage
Mumbai,40,139304,0,37,4-wheeler,0.47482586186162257,80,Tech-savvy,Daily Commuting
Pune,33,24725,0,17,2-wheeler,0.4389033246576748,69,Status-seeking,Daily Commuting
Mumbai,31,105597,1,31,E-rickshaw,0.1983019085311132,13,Status-seeking,Weekend Trips
Mumbai,27,133073,1,22,E-rickshaw,0.32904958051700184,39,Cost-conscious,Long Distance
Hyderabad,24,108207,1,22,E-rickshaw,0.4814295831623533,81,Status-seeking,Long Distance
Pune,62,77632,0,17,4-wheeler,0.39428673884197507,29,Status-seeking,Rare Usage
Pune,69,86945,0,26,2-wheeler,0.3753345393519575,72,Cost-conscious,Rare Usage
Pune,54,93741,1,18,E-rickshaw,0.40196043171246265,13,Eco-friendly,Daily Commuting
Mumbai,46,36365,0,15,2-wheeler,0.22900247559512793,51,Cost-conscious,Daily Commuting
Delhi,20,85792,1,43,E-rickshaw,0.3917009077612945,16,Cost-conscious,Rare Usage
Pune,32,84857,1,26,2-wheeler,0.19314190057876637,61,Tech-savvy,Rare Usage
Mumbai,53,136409,1,40,4-wheeler,0.27124110836310134,97,Tech-savvy,Long Distance
Hyderabad,64,35704,1,21,4-wheeler,0.45597152687540266,21,Eco-friendly,Daily Commuting
Delhi,63,70575,1,36,4-wheeler,0.10758845859630069,52,Cost-conscious,Rare Usage
Hyderabad,69,49902,0,18,E-rickshaw,0.26572746010093873,31,Cost-conscious,Rare Usage
Delhi,36,139641,1,46,4-wheeler,0.20672870669562382,75,Eco-friendly,Weekend Trips
Mumbai,30,121294,1,33,4-wheeler,0.17943584659744377,54,Tech-savvy,Rare Usage
Bangalore,59,21195,0,10,4-wheeler,0.43543016858900496,79,Cost-conscious,Rare Usage
Delhi,38,139247,1,8,2-wheeler,0.3785994291379913,21,Eco-friendly,Long Distance
Hyderabad,54,73517,0,15,2-wheeler,0.14505308816459273,37,Tech-savvy,Rare Usage
Mumbai,44,54012,0,49,2-wheeler,0.29778533060047574,49,Status-seeking,Daily Commuting
Delhi,69,31415,0,44,2-wheeler,0.28676230873084446,65,Eco-friendly,Weekend Trips
Bangalore,46,59534,1,14,2-wheeler,0.15701111761176342,44,Eco-friendly,Long Distance
Bangalore,37,41686,1,32,2-wheeler,0.41990508039648333,7,Cost-conscious,Daily Commuting
Pune,42,97198,1,15,2-wheeler,0.24666958858167992,64,Status-seeking,Weekend Trips
Pune,23,134514,0,39,4-wheeler,0.4047751100641578,39,Tech-savvy,Weekend Trips
Hyderabad,53,48743,1,19,4-wheeler,0.17682504603288499,4,Status-seeking,Rare Usage
Delhi,19,52161,1,12,E-rickshaw,0.22602938464553293,44,Cost-conscious,Weekend Trips
Delhi,39,81313,1,24,4-wheeler,0.13806837908106637,45,Cost-conscious,Weekend Trips
Pune,49,135994,0,25,2-wheeler,0.1573917078982433,35,Tech-savvy,Rare Usage
Delhi,33,128617,0,5,2-wheeler,0.4532733961410932,16,Tech-savvy,Long Distance
Delhi,35,22402,0,33,E-rickshaw,0.14364505767423102,40,Tech-savvy,Rare Usage
Bangalore,22,83190,1,28,4-wheeler,0.1382924829143773,29,Cost-conscious,Long Distance
Pune,53,135184,1,34,4-wheeler,0.476150924334664,51,Tech-savvy,Weekend Trips
Mumbai,47,72551,1,44,E-rickshaw,0.35836138386430705,78,Tech-savvy,Daily Commuting
Pune,62,33275,1,39,2-wheeler,0.1403663934217678,19,Tech-savvy,Long Distance
Mumbai,36,48182,1,37,2-wheeler,0.48868669562642053,35,Eco-friendly,Long Distance
Bangalore,40,34915,1,24,2-wheeler,0.15884000420131886,65,Tech-savvy,Long Distance
Hyderabad,51,20909,1,20,2-wheeler,0.4065382901141712,44,Cost-conscious,Long Distance
Delhi,30,134110,0,13,E-rickshaw,0.11394054465583459,3,Eco-friendly,Weekend Trips
Bangalore,60,85908,0,35,4-wheeler,0.3498167189359246,49,Cost-conscious,Daily Commuting
Delhi,46,147337,1,21,2-wheeler,0.31868154884115835,87,Status-seeking,Long Distance
Hyderabad,53,42620,1,35,4-wheeler,0.18320152417012048,54,Eco-friendly,Daily Commuting
Hyderabad,39,54112,0,27,4-wheeler,0.3572584570881665,58,Tech-savvy,Weekend Trips
Bangalore,69,94051,1,10,2-wheeler,0.34682119727095545,41,Eco-friendly,Long Distance
Hyderabad,69,22431,1,34,2-wheeler,0.4193406861855907,1,Cost-conscious,Daily Commuting
Mumbai,64,106590,1,11,2-wheeler,0.45034962344017815,45,Eco-friendly,Long Distance
